"id";"id_departement";"nom_commune";"slug";"code_postal";"code_insee";"latitude";"longitude"
323;101;"CHATILLON LA PALUD";"chatillon-la-palud";"01320";1092;45.966667;5.25
324;101;"CHATILLON SUR CHALARONNE";"chatillon-sur-chalaronne";"01400";1093;46.116667;4.966667
325;101;"CHAVANNES SUR REYSSOUZE";"chavannes-sur-reyssouze";"01190";1094;46.433333;5
326;101;"CHAVEYRIAT";"chaveyriat";"01660";1096;46.183333;5.066667
327;101;"CHEVROUX";"chevroux";"01190";1102;46.383333;4.95
328;101;"CIVRIEUX";"civrieux";"01390";1105;45.916667;4.883333
329;101;"CONDEISSIAT";"condeissiat";"01400";1113;46.166667;5.083333
330;101;"CORMORANCHE SUR SAONE";"cormoranche-sur-saone";"01290";1123;46.233333;4.833333
331;101;"CRANS";"crans";"01320";1129;45.966667;5.216667
332;101;"CROTTET";"crottet";"01620";1134;46.283333;4.9
333;101;"CRUZILLES LES MEPILLAT";"cruzilles-les-mepillat";"01290";1136;46.216667;4.883333
334;101;"DOMMARTIN";"dommartin";"01380";1144;46.341667;4.991667
335;101;"DOMPIERRE SUR CHALARONNE";"dompierre-sur-chalaronne";"01400";1146;46.133333;4.9
336;101;"FAREINS";"fareins";"01480";1157;46.016667;4.766667
337;101;"FEILLENS";"feillens";"01570";1159;46.333333;4.883333
338;101;"FRANCHELEINS";"francheleins";"01090";1165;46.066667;4.8
339;101;"FRANS";"frans";"01480";1166;45.983333;4.783333
340;101;"GARNERANS";"garnerans";"01140";1167;46.2;4.833333
341;101;"GENOUILLEUX";"genouilleux";"01090";1169;46.116667;4.783333
342;101;"GORREVOD";"gorrevod";"01190";1175;46.416667;4.95
343;101;"GRIEGES";"grieges";"01290";1179;46.25;4.85
344;101;"GUEREINS";"guereins";"01090";1183;46.1;4.783333
345;101;"ILLIAT";"illiat";"01140";1188;46.183333;4.883333
346;101;"JASSANS RIOTTIER";"jassans-riottier";"01480";1194;45.983333;4.75
347;101;"L ABERGEMENT CLEMENCIAT";"labergement-clemenciat";"01400";1001;46.15;4.916667
348;101;"LA CHAPELLE DU CHATELARD";"la-chapelle-du-chatelard";"01240";1085;46.066667;5.033333
349;101;"LAIZ";"laiz";"01290";1203;46.25;4.883333
350;101;"LAPEYROUSE";"lapeyrouse";"01330";1207;45.983333;4.966667
351;101;"LE PLANTAY";"le-plantay";"01330";1299;46.016667;5.083333
352;101;"LURCY";"lurcy";"01090";1225;46.066667;4.766667
353;101;"MANZIAT";"manziat";"01570";1231;46.35;4.9
354;101;"MARLIEUX";"marlieux";"01240";1235;46.066667;5.066667
355;101;"MASSIEUX";"massieux";"01600";1238;45.916667;4.833333
356;101;"MESSIMY SUR SAONE";"messimy-sur-saone";"01480";1243;46.0484;4.76473
357;101;"MEZERIAT";"mezeriat";"01660";1246;46.233333;5.033333
358;101;"MIONNAY";"mionnay";"01390";1248;45.9;4.933333
359;101;"MIRIBEL";"miribel";"01700";1249;45.8245;4.95306
360;101;"MISERIEUX";"miserieux";"01600";1250;45.983333;4.816667
361;101;"MOGNENEINS";"mogneneins";"01140";1252;46.133333;4.816667
362;101;"MONTCEAUX";"montceaux";"01090";1258;46.1;4.8
363;101;"MONTHIEUX";"monthieux";"01390";1261;45.95;4.933333
364;101;"MONTMERLE SUR SAONE";"montmerle-sur-saone";"01090";1263;46.083333;4.766667
365;101;"NEUVILLE LES DAMES";"neuville-les-dames";"01400";1272;46.166667;5
366;101;"NEYRON";"neyron";"01700";1275;45.8148;4.93223
